gene_symbol,entrez_id,ensembl_gene_id,mgi_gene_id,uniprot_id,family_id,sf_id,family_name,subfamily_name
1700028P14Rik,,,MGI:1914733,,PTHR35069,PTHR35069:SF1,PROTEIN C9ORF135,PROTEIN C9ORF135
1700029H14Rik,,,MGI:1913751,,PTHR39223,PTHR39223:SF1,RIKEN CDNA 1700029H14 GENE,RIKEN CDNA 1700029H14 GENE
1700029I15Rik,,,MGI:1916742,,PTHR37872,PTHR37872:SF1,SIMILAR TO RIKEN CDNA 1700029I15,SIMILAR TO RIKEN CDNA 1700029I15
1700029J07Rik,,,MGI:1916729,,PTHR31144,PTHR31144:SF1,UPF0602 PROTEIN C4ORF47,UPF0602 PROTEIN C4ORF47
1700029P11Rik,,,MGI:1913596,,PTHR13327,PTHR13327:SF2,"NADH-UBIQUINONE OXIDOREDUCTASE ESSS SUBUNIT, MITOCHONDRIAL PRECURSOR",RIKEN CDNA 1700029P11 GENE
1700030J22Rik,,,MGI:1916778,,PTHR36869,PTHR36869:SF1,CHROMOSOME 16 OPEN READING FRAME 46,CHROMOSOME 16 OPEN READING FRAME 46
1700030K09Rik,,,MGI:1919504,,PTHR22409,PTHR22409:SF2,UNCHARACTERIZED,CHROMOSOME 19 OPEN READING FRAME 44
1700034E13Rik,,,MGI:1925664,,PTHR13555,PTHR13555:SF59,C2H2 ZINC FINGER CGI-62-RELATED,RIKEN CDNA 1700034E13 GENE
1700034I23Rik,,,MGI:1920547,,PTHR21346,PTHR21346:SF9,FUN14 DOMAIN CONTAINING,RIKEN CDNA 1700034I23 GENE
1700034J05Rik,,,MGI:1920594,,PTHR36462,PTHR36462:SF1,CHROMOSOME 12 OPEN READING FRAME 71,CHROMOSOME 12 OPEN READING FRAME 71
1700037C18Rik,,,MGI:1920511,,PTHR37334,PTHR37334:SF1,RGD1561796,RGD1561796
1700037H04Rik,,,MGI:1914576,,PTHR13287,PTHR13287:SF2,UNCHARACTERIZED,UPF0687 PROTEIN C20ORF27 HOMOLOG
1700040F15Rik,,,MGI:1920579,,PTHR19368,PTHR19368:SF10,XLR/SCP3/FAM9,EG546282 PROTEIN-RELATED
1700042G07Rik,,,MGI:1914573,,PTHR10155,PTHR10155:SF27,PHOSPHATIDYLINOSITOL 3-KINASE REGULATORY SUBUNIT,PIK3R3 UPSTREAM OPEN READING FRAME PROTEIN
1700049E17Rik1,,,MGI:1920665,,PTHR21558,PTHR21558:SF12,SPEER/SPETEX,2610042L04RIK PROTEIN-RELATED
1700057G04Rik,,,MGI:1925709,,PTHR23248,PTHR23248:SF32,PHOSPHOLIPID SCRAMBLASE-RELATED,PHOSPHOLIPID SCRAMBLASE
1700066B19Rik,,,MGI:1920699,,PTHR37873,PTHR37873:SF1,SMALL INTEGRAL MEMBRANE PROTEIN 33,SMALL INTEGRAL MEMBRANE PROTEIN 33
1700066M21Rik,,,MGI:1920717,,PTHR31296,PTHR31296:SF1,UPF0565 PROTEIN C2ORF69,UPF0565 PROTEIN C2ORF69
1700067K01Rik,,,MGI:1920703,,PTHR36292,PTHR36292:SF1,UPF0575 PROTEIN C19ORF67,UPF0575 PROTEIN C19ORF67
1700074P13Rik,,,MGI:1920731,,PTHR24271,PTHR24271:SF44,KALLIKREIN-RELATED,1700074P13RIK PROTEIN
1700080O16Rik,,,MGI:1921529,,PTHR11736,PTHR11736:SF55,MELANOMA-ASSOCIATED ANTIGEN  MAGE ANTIGEN,1700080O16RIK PROTEIN
1700086L19Rik,,,MGI:1921534,,PTHR47888,PTHR47888:SF1,UPF0730 PROTEIN ENCODED BY LINC00643-RELATED,UPF0730 PROTEIN ENCODED BY LINC00643-RELATED
1700088E04Rik,,,MGI:1920774,,PTHR28348,PTHR28348:SF1,UPF0193 PROTEIN EVG1,UPF0193 PROTEIN EVG1
1700093K21Rik,,,MGI:1914608,,PTHR37882,PTHR37882:SF1,HYPOTHETICAL PROTEIN LOC690352,HYPOTHETICAL PROTEIN LOC690352
1700094D03Rik,,,MGI:1920795,,PTHR35818,PTHR35818:SF1,C1ORF189,RGD1564171
1700102P08Rik,,,MGI:2148248,,PTHR36680,PTHR36680:SF1,HYPOTHETICAL LOC498675,HYPOTHETICAL LOC498675
1700109H08Rik,,,MGI:1924286,,PTHR23055,PTHR23055:SF67,CALCIUM BINDING PROTEINS,RIKEN CDNA 1700109H08 GENE
1700113H08Rik,,,MGI:1923890,,PTHR40708,PTHR40708:SF1,RIKEN CDNA 1700113H08 GENE,RIKEN CDNA 1700113H08 GENE
1700123K08Rik,,,MGI:1923908,,PTHR46793,PTHR46793:SF1,1700018F24RIK PROTEIN-RELATED-RELATED,1700018F24RIK PROTEIN-RELATED
1700123L14Rik,,,MGI:1925732,,PTHR23138,PTHR23138:SF155,RAN BINDING PROTEIN,RIKEN CDNA 1700123L14 GENE
1700123O20Rik,,,MGI:1920893,,PTHR16260,PTHR16260:SF3,SIMILAR TO 1700123O20RIK PROTEIN,SIMILAR TO 1700123O20RIK PROTEIN
1700125H20Rik,,,MGI:1920884,,PTHR21765,PTHR21765:SF1,SIMILAR TO CHROMODOMAIN-HELICASE-DNA-BINDING PROTEIN 1 (CHD-1),SIMILAR TO CHROMODOMAIN-HELICASE-DNA-BINDING PROTEIN 1 (CHD-1)
1810009A15Rik,,,MGI:1913526,,PTHR14554,PTHR14554:SF1,"GENE, 49416-RELATED","GENE, 49416-RELATED"
1810009J06Rik,,,MGI:1920876,,PTHR24264,PTHR24264:SF13,TRYPSIN-RELATED,RIKEN CDNA 1810009J06 GENE-RELATED
1810010H24Rik,,,MGI:1916316,,PTHR35967,PTHR35967:SF1,UPF0450 PROTEIN C17ORF58,UPF0450 PROTEIN C17ORF58
1810013L24Rik,,,MGI:1916303,,PTHR31624,PTHR31624:SF3,UPF0472 PROTEIN C16ORF72,UPF0472 PROTEIN C16ORF72
1810024B03Rik,,,MGI:1925560,,PTHR24343,PTHR24343:SF422,SERINE/THREONINE KINASE,RIKEN CDNA 1810024B03 GENE
1810030O07Rik,,,MGI:1916405,,PTHR35083,PTHR35083:SF1,RGD1565685 PROTEIN,RGD1565685 PROTEIN
1810037I17Rik,,,MGI:1914954,,PTHR37367,PTHR37367:SF1,CHROMOSOME 4 OPEN READING FRAME 3,CHROMOSOME 4 OPEN READING FRAME 3
1810046K07Rik,,,MGI:1917059,,PTHR28376,PTHR28376:SF1,RGD1562914,RGD1562914
1810055G02Rik,,,MGI:1919306,,PTHR16021,PTHR16021:SF9,MANSC DOMAIN CONTAINING PROTEIN 1,CHROMOSOME 11 OPEN READING FRAME 24
1810065E05Rik,,,MGI:1917114,,PTHR20914,PTHR20914:SF16,LY6/PLAUR DOMAIN-CONTAINING PROTEIN 8,RIKEN CDNA 1810065E05 GENE
2010003K11Rik,,,MGI:1917111,,PTHR31831,PTHR31831:SF1,HYPOTHETICAL PROTEIN LOC689065,HYPOTHETICAL PROTEIN LOC689065
2010315B03Rik,,,MGI:1919321,,PTHR24390,PTHR24390:SF140,ZINC FINGER PROTEIN,ZINC FINGER PROTEIN 763
2200002J24Rik,,,MGI:1916397,,PTHR14948,PTHR14948:SF40,NG5,RIKEN CDNA 2200002J24 GENE
2210010C04Rik,,,MGI:1914623,,PTHR24264,PTHR24264:SF15,TRYPSIN-RELATED,RIKEN CDNA 2210010C04 GENE
2210016F16Rik,,,MGI:1917403,,PTHR21314,PTHR21314:SF0,UNCHARACTERIZED,QUEUOSINE SALVAGE PROTEIN
2210016L21Rik,,,MGI:1919607,,PTHR14482,PTHR14482:SF0,CHROMOSOME 12 ORF 43 HOMOLOG,PROTEIN CUSTOS
2210407C18Rik,,,MGI:1925604,,PTHR20914,PTHR20914:SF6,LY6/PLAUR DOMAIN-CONTAINING PROTEIN 8,EP1
2210408I21Rik,,,MGI:1919621,,PTHR33960,PTHR33960:SF1,SIMILAR TO KIAA0825 PROTEIN,SIMILAR TO KIAA0825 PROTEIN
2300002M23Rik,,,MGI:1916792,,PTHR15817,PTHR15817:SF2,STG PROTEIN,"MUCIN 18B, ISOFORM A"
2300003K06Rik,,,MGI:1916701,,PTHR23262,PTHR23262:SF176,KERATIN ASSOCIATED PROTEIN,HCG2042993-RELATED
2300009A05Rik,,,MGI:1916728,,PTHR34651,PTHR34651:SF1,SIMILAR TO ENSANGP00000021391,SIMILAR TO ENSANGP00000021391
2310002L09Rik,,,MGI:1916780,,PTHR23280,PTHR23280:SF8,4.1 G PROTEIN,FERM DOMAIN-CONTAINING PROTEIN 3
2310003L06Rik,,,MGI:1921498,,PTHR39225,PTHR39225:SF1,GENE 28434-RELATED,GENE 28434-RELATED
2310011J03Rik,,,MGI:1913624,,PTHR34766,PTHR34766:SF1,UPF0449 PROTEIN C19ORF25,UPF0449 PROTEIN C19ORF25
2310022A10Rik,,,MGI:1913617,,PTHR21359,PTHR21359:SF1,UNCHARACTERIZED,LD36945P
2310022B05Rik,,,MGI:1916801,,PTHR34394,PTHR34394:SF1,SIMILAR TO RIKEN CDNA 2310022B05,SIMILAR TO RIKEN CDNA 2310022B05
2310030G06Rik,,,MGI:1914202,,PTHR37342,PTHR37342:SF1,HYPOTHETICAL PROTEIN LOC689959,HYPOTHETICAL PROTEIN LOC689959
2310033P09Rik,,,MGI:1915112,,PTHR14580,PTHR14580:SF0,MULTIPLE MYELOMA TUMOR-ASSOCIATED PROTEIN 2 FAMILY MEMBER,MULTIPLE MYELOMA TUMOR-ASSOCIATED PROTEIN 2
2310034C09Rik,,,MGI:2152338,,PTHR19051,PTHR19051:SF16,KERATIN-ASSOCIATED PROTEIN,KERATIN-ASSOCIATED PROTEIN 13-2-RELATED
2310039H08Rik,,,MGI:1914351,,PTHR40657,PTHR40657:SF1,HYPOTHETICAL PROTEIN LOC681367,HYPOTHETICAL PROTEIN LOC681367
2310050C09Rik,,,MGI:1913783,,PTHR23263,PTHR23263:SF4,SMALL PROLINE-RICH PROTEIN,SKIN-SPECIFIC PROTEIN 32
2310057J18Rik,,,MGI:1914969,,PTHR18820,PTHR18820:SF1,LEG1,PROTEIN LEG1 HOMOLOG
2310057M21Rik,,,MGI:1915527,,PTHR14787,PTHR14787:SF1,C10ORF188 FAMILY MEMBER,CHROMOSOME 10 OPEN READING FRAME 88
2310057N15Rik,,,MGI:1916946,,PTHR19051,PTHR19051:SF16,KERATIN-ASSOCIATED PROTEIN,KERATIN-ASSOCIATED PROTEIN 13-2-RELATED
2310061I04Rik,,,MGI:1916912,,PTHR31094,PTHR31094:SF2,RIKEN CDNA 2310061I04 GENE,RIKEN CDNA 2310061I04 GENE
2310061N02Rik,,,MGI:1916911,,PTHR19051,PTHR19051:SF13,KERATIN-ASSOCIATED PROTEIN,2310061N02RIK PROTEIN
2310079G19Rik,,,MGI:1916949,,PTHR19051,PTHR19051:SF15,KERATIN-ASSOCIATED PROTEIN,RIKEN CDNA 2310079G19 GENE
2410004B18Rik,,,MGI:1913671,,PTHR31833,PTHR31833:SF2,UPF0690 PROTEIN C1ORF52,UPF0690 PROTEIN C1ORF52
2410004P03Rik,,,MGI:1920917,,PTHR31909,PTHR31909:SF2,CHROMOSOME 20 ORF85 FAMILY MEMBER,RIKEN CDNA 2410004P03 GENE
2410131K14Rik,,,MGI:1924042,,PTHR13481,PTHR13481:SF0,UNCHARACTERIZED,UPF0454 PROTEIN C12ORF49
2410141K09Rik,,,MGI:1924053,,PTHR23226,PTHR23226:SF227,ZINC FINGER AND SCAN DOMAIN-CONTAINING,MCG112779-RELATED
2510002D24Rik,,,MGI:1919557,,PTHR28052,PTHR28052:SF1,UPF0545 PROTEIN C22ORF39,UPF0545 PROTEIN C22ORF39
2510009E07Rik,,,MGI:1919440,,PTHR31785,PTHR31785:SF2,UPF0524 PROTEIN C3ORF70,UPF0524 PROTEIN C3ORF70
2510039O18Rik,,,MGI:1924284,,PTHR31386,PTHR31386:SF2,UNCHARACTERIZED PROTEIN KIAA2013,SIMILAR TO RIKEN CDNA 2510039O18
2610001J05Rik,,,MGI:1913770,,PTHR36878,PTHR36878:SF1,SMALL INTEGRAL MEMBRANE PROTEIN 30,SMALL INTEGRAL MEMBRANE PROTEIN 30
2610002M06Rik,,,MGI:1914278,,PTHR10476,PTHR10476:SF19,CHARGED MULTIVESICULAR BODY PROTEIN,CHARGED MULTIVESICULAR BODY PROTEIN 1B-2
2610008E11Rik,,,MGI:1919378,,PTHR24381,PTHR24381:SF62,ZINC FINGER PROTEIN,ZINC FINGER PROTEIN 25
2610021A01Rik,,,MGI:1922662,,PTHR24376,PTHR24376:SF147,ZINC FINGER PROTEIN,ZINC FINGER PROTEIN 594-RELATED
2610028H24Rik,,,MGI:1924214,,PTHR28604,PTHR28604:SF2,FAMILY NOT NAMED,RIKEN CDNA 2610028H24
2610042L04Rik,,,MGI:1914305,,PTHR21558,PTHR21558:SF12,SPEER/SPETEX,2610042L04RIK PROTEIN-RELATED
2610044O15Rik8,,,MGI:1919389,,PTHR24399,PTHR24399:SF50,ZINC FINGER AND BTB DOMAIN-CONTAINING,"NOVEL KRAB BOX AND ZINC FINGER, C2H2 TYPE DOMAIN CONTAINING PROTEIN-RELATED"
2610301B20Rik,,,MGI:1914407,,PTHR33958,PTHR33958:SF1,PROTEIN C8ORF37,PROTEIN C8ORF37
2610318N02Rik,,,MGI:1917708,,PTHR36867,PTHR36867:SF1,"MCG131172, ISOFORM CRA_A","MCG131172, ISOFORM CRA_A"
2610507B11Rik,,,MGI:1919753,,PTHR15678,PTHR15678:SF6,ANTIGEN MLAA-22-RELATED,PROTEIN KIAA0100
2610528J11Rik,,,MGI:1913701,,PTHR31450,PTHR31450:SF3,LEUCINE-RICH REPEAT-CONTAINING PROTEIN 19 LRRC19 FAMILY MEMBER,TYPE III ENDOSOME MEMBRANE PROTEIN TEMP
2700049A03Rik,,,MGI:1924217,,PTHR15721,PTHR15721:SF2,KIAA0586 PROTEIN,PROTEIN TALPID3
2700062C07Rik,,,MGI:1915296,,PTHR31402,PTHR31402:SF2,UPF0711 PROTEIN C18ORF21,UPF0711 PROTEIN C18ORF21
2700081O15Rik,,,MGI:1919667,,PTHR34589,PTHR34589:SF2,SIMILAR TO RIKEN CDNA 2700081O15,SIMILAR TO RIKEN CDNA 2700081O15
2700097O09Rik,,,MGI:1919908,,PTHR43675,PTHR43675:SF1,ARSENITE METHYLTRANSFERASE,RIKEN CDNA 2700097O09
2810004N23Rik,,,MGI:1913773,,PTHR28366,PTHR28366:SF1,UNCHARACTERIZED,ZGC:194224
2810006K23Rik,,,MGI:1919900,,PTHR46203,PTHR46203:SF1,PROBABLE PEPTIDE CHAIN RELEASE FACTOR C12ORF65,"PEPTIDE CHAIN RELEASE FACTOR C12ORF65, MITOCHONDRIAL-RELATED"
2810021J22Rik,,,MGI:1917194,,PTHR24381,PTHR24381:SF333,ZINC FINGER PROTEIN,RIKEN CDNA 2810021J22 GENE
2810408A11Rik,,,MGI:1917669,,PTHR12398,PTHR12398:SF8,PROTEIN PHOSPHATASE INHIBITOR,RIKEN CDNA 2810408A11 GENE
2810459M11Rik,,,MGI:1920042,,PTHR35675,PTHR35675:SF1,HYPOTHETICAL PROTEIN LOC100362216,HYPOTHETICAL PROTEIN LOC100362216
2900026A02Rik,,,MGI:1920194,,PTHR22042,PTHR22042:SF3,TANKYRASE 1 BINDING PROTEIN,SIMILAR TO HYPOTHETICAL PROTEIN A530094D01
2900092C05Rik,,,MGI:1920340,,PTHR38000,PTHR38000:SF1,RIKEN CDNA 2900092C05,RIKEN CDNA 2900092C05
3110001I22Rik,,,MGI:1913848,,PTHR15836,PTHR15836:SF4,PERIPHILIN 1,PERIPHILIN-1
3110009E18Rik,,,MGI:1920353,,PTHR18444,PTHR18444:SF9,UPF0538 FAMILY MEMBER,UPF0538 PROTEIN C2ORF76
3110040N11Rik,,,MGI:1914540,,PTHR13420,PTHR13420:SF7,UNCHARACTERIZED,UPF0235 PROTEIN C15ORF40
3110082I17Rik,,,MGI:1920462,,PTHR22306,PTHR22306:SF2,UNCHARACTERIZED,ZMP:0000000624
3300002I08Rik,,,MGI:1916527,,PTHR23234,PTHR23234:SF3,ZNF44 PROTEIN,RIKEN CDNA 3300002I08-RELATED
3425401B19Rik,,,MGI:3588196,,PTHR33775,PTHR33775:SF2,CARDIAC-ENRICHED FHL2-INTERACTING PROTEIN-RELATED,CARDIAC-ENRICHED FHL2-INTERACTING PROTEIN
3830403N18Rik,,,MGI:1917941,,PTHR19368,PTHR19368:SF10,XLR/SCP3/FAM9,EG546282 PROTEIN-RELATED
3830406C13Rik,,,MGI:1917937,,PTHR14286,PTHR14286:SF2,"GENE, 49355-RELATED","GENE, 49355-RELATED"
3830417A13Rik,,,MGI:1917946,,PTHR11736,PTHR11736:SF63,MELANOMA-ASSOCIATED ANTIGEN  MAGE ANTIGEN,RIKEN CDNA 3830417A13
4430402I18Rik,,,MGI:1918036,,PTHR16435,PTHR16435:SF5,SPERMATOGENESIS-ASSOCIATED PROTEIN 6 SPATA6,SPERMATOGENESIS ASSOCIATED 6-LIKE PROTEIN
4833420G17Rik,,,MGI:1914642,,PTHR34531,PTHR34531:SF1,ZGC:153352,ZGC:153352
4833427G06Rik,,,MGI:1921013,,PTHR47231,PTHR47231:SF1,UPF0722 PROTEIN C11ORF88,UPF0722 PROTEIN C11ORF88
4833439L19Rik,,,MGI:1921162,,PTHR28342,PTHR28342:SF1,MONOOXYGENASE P33MONOX-RELATED,MONOOXYGENASE P33MONOX-RELATED
